    63/299       18G   0.03102   0.02667  0.002391   0.06009       181       640    0.8867    0.7825    0.8431     0.543    0.5256   0.02998   0.02127   0.00284
    64/299       18G   0.03059   0.02628  0.002325    0.0592       196       640    0.8795    0.7943    0.8481    0.5631    0.5423   0.02964   0.02116  0.003014
    65/299       18G   0.03072    0.0268  0.002462   0.05998       179       640    0.8802    0.7989    0.8543    0.5702    0.5454   0.02954   0.02103  0.002649
    66/299       18G   0.03031   0.02623   0.00243   0.05896       192       640    0.8678    0.8087    0.8476    0.5562    0.5388   0.02965     0.021  0.002843
    67/299       18G   0.02998   0.02594  0.002278    0.0582       217       640    0.8914    0.7926    0.8475    0.5628    0.5395   0.02963   0.02114  0.003028
    68/299       18G   0.03045   0.02588  0.002295   0.05863       168       640    0.8829    0.7889    0.8482    0.5666    0.5355    0.0299   0.02153  0.002779
    69/299       18G   0.03042   0.02614  0.002381   0.05894       172       640     0.889    0.7939    0.8457    0.5647    0.5399   0.02942   0.02125  0.002734
    70/299       18G   0.03015   0.02595  0.002349   0.05845       139       640     0.859    0.8106    0.8436    0.5584    0.5335   0.02962   0.02107  0.002967
    71/299       18G   0.03027   0.02605  0.002271   0.05858       176       640    0.8776     0.805    0.8502    0.5696    0.5429   0.02952   0.02107  0.003346
    72/299       18G   0.03009   0.02567  0.002075   0.05783       154       640    0.8927    0.8031    0.8565    0.5713    0.5448   0.02953   0.02113  0.003282
    73/299       18G   0.03034   0.02524  0.002213   0.05779       131       640    0.8918     0.808    0.8549    0.5742    0.5477   0.02954   0.02118  0.003038
    74/299       18G   0.03015   0.02601  0.002314   0.05847       120       640    0.8981    0.7905    0.8569    0.5722    0.5419   0.02961   0.02103  0.003088
    75/299       18G   0.03013    0.0254  0.002237   0.05777       136       640    0.8799    0.8168    0.8535    0.5597     0.538   0.02942   0.02113  0.003176
    76/299       18G    0.0299   0.02541  0.002301   0.05761       138       640    0.8862    0.8017    0.8516    0.5746    0.5455   0.02947   0.02104  0.003367
    77/299       18G   0.03005   0.02594   0.00234   0.05832       161       640    0.8778    0.8139     0.852    0.5808    0.5457   0.02913   0.02096  0.003215
    78/299       18G   0.02967   0.02564  0.002187    0.0575       163       640    0.9007    0.8142    0.8519    0.5654     0.542   0.02912   0.02099  0.003353
    79/299       18G   0.02951   0.02509  0.002186   0.05679       152       640     0.887    0.8041    0.8455    0.5686    0.5417   0.02905   0.02101    0.0035
    80/299       18G   0.02962   0.02554  0.002211   0.05738       142       640    0.8631    0.8203    0.8522    0.5768    0.5489   0.02927   0.02125  0.003467
    81/299       18G   0.02927   0.02549  0.002232   0.05699       141       640    0.8872    0.7871    0.8469    0.5672    0.5429   0.02909   0.02123  0.003446
    82/299       18G   0.02931   0.02553  0.002109   0.05696       144       640    0.8806    0.8087    0.8511    0.5824    0.5495   0.02923   0.02097   0.00303
    83/299       18G   0.02953   0.02511  0.002265    0.0569       200       640    0.8845    0.8151    0.8551    0.5731     0.547   0.02926   0.02095  0.003245
    84/299       18G    0.0293    0.0254  0.002242   0.05694       149       640    0.8916    0.8045    0.8563    0.5787    0.5515   0.02895   0.02098  0.003077
    85/299       18G   0.02859   0.02517  0.002169   0.05592        96       640    0.9017    0.8047    0.8519    0.5728    0.5484    0.0288   0.02089  0.003065
    86/299       18G   0.02919   0.02538   0.00213    0.0567       200       640    0.8848    0.8146    0.8529    0.5788    0.5511   0.02897   0.02098  0.003117
